cash,fiscal_quarter,fiscal_year,period_end_date,revenue,shares_outstanding,ticker,total_debt
165679000.0,Q3,2021,2021-09-30,-166000.0,44714941.0,PRAX,
1897703.0,Q4,2020,2020-12-31,-3607552.0,3506752.0,PROP,
246358.0,Q4,2022,2022-12-31,-42059.0,11648878.0,PROP,
27435000.0,Q4,2024,2024-12-31,-596716000.0,27264155.0,PRSU,112733000.0
11446717.0,Q2,2020,2020-06-30,-1888.0,,QCLS,
25617000.0,Q4,2024,2024-12-31,-14662000.0,29769466.0,QTTB,18901000.0
138975000.0,Q4,2020,2020-12-31,-193826000.0,53818378.0,RC,4120750000.0
138532000.0,Q4,2023,2023-12-31,-695683000.0,148567026.0,RC,3212110000.0
205933000.0,Q1,2025,2025-03-31,-74096000.0,172507227.0,RC,5134403000.0
162935000.0,Q2,2025,2025-06-30,-6286000.0,164326387.0,RC,4011086000.0
201233000.0,Q1,2026,2026-03-31,-80854000.0,165255559.0,RC,2711812000.0
3016788000.0,Q3,2020,2020-09-30,-33688000.0,214163000.0,RCL,18890447000.0
127000000.0,Q4,2024,2024-12-31,-49000000.0,127333376.0,RCUS,
1280000.0,Q2,2018,2018-06-30,12338000.0,14533030.0,REKR,-2389844.0
229527000.0,Q4,2021,2021-05-01,-7453000.0,31210011.0,RH,28067000.0
345200.0,Q4,2019,2020-03-31,-247888.0,38532889.0,RIME,
143736000.0,Q4,2023,2023-12-31,-1000.0,122576527.0,RLAY,
267989000.0,Q4,2023,2023-09-30,-503220000.0,16426000.0,RMR,
6494953000.0,Q4,2023,2024-03-31,-8121000.0,831049444.0,ROIV,12000000.0
97439000.0,Q1,2025,2025-03-31,-1801000.0,7570338.0,RPT,358765000.0
450000000.0,Q4,2021,2021-12-31,-108587000.0,142070301.0,RWT,2177362000.0
259000000.0,Q4,2022,2022-12-31,-189144000.0,117227846.0,RWT,2029679000.0
301979000.0,Q2,2025,2025-06-30,-52912000.0,131679516.0,RWT,19510737000.0
,Q3,2020,2020-09-30,4170000.0,0.0,RXST,
110534.0,Q4,2018,2018-12-31,-91168.0,3046807.0,SBFM,
32638970.0,Q4,2021,2021-12-31,-625406.0,25998831.0,SEGG,150000.0
97906000.0,Q4,2022,2022-12-31,-142903000.0,153385000.0,SEM,3879562000.0
52632000.0,Q4,2023,2023-12-31,-179225000.0,123105000.0,SEM,3653258000.0
1398628.0,Q1,2024,2024-03-31,-3.0,2075745.0,SHPH,941398.0
23390000.0,Q1,2021,2021-03-31,390000.0,0.0,SKYH,
20580000.0,Q2,2021,2021-06-30,394000.0,0.0,SKYH,
217040000.0,Q3,2021,2021-09-30,402000.0,0.0,SKYH,
203935000.0,Q4,2021,2021-12-31,392000.0,0.0,SKYH,
10426249.0,Q4,2021,2021-12-31,-57076.0,64943703.0,SKYX,7197220.0
24284000.0,Q2,2026,2026-06-30,-1017000.0,227217240.0,SLDP,7534000.0
1316994.0,Q2,2021,2021-06-30,372000.0,0.0,SMR,
1190307.0,Q3,2021,2021-09-30,297000.0,0.0,SMR,
576574.0,Q1,2022,2022-03-31,2445000.0,0.0,SMR,
351676000.0,Q4,2021,2021-12-31,-7569000.0,148510351.0,SPRU,21000.0
1685000.0,Q4,2019,2020-02-01,-603904000.0,43588000.0,SPWH,23781000.0
65525000.0,Q4,2020,2021-01-30,-979017000.0,44430000.0,SPWH,
192060000.0,Q2,2023,2023-06-30,-2481000.0,44188464.0,STOK,
12789975.0,Q4,2020,2020-12-31,-14065438.0,9322672.0,SUNE,
18966.0,Q4,2021,2021-12-31,-15974356.0,3074998.0,SUNE,
12594000.0,Q1,2020,2020-03-31,-198000.0,,SYRE,
-445000.0,Q3,2022,2022-09-30,332462000.0,,TBLA,
378564000.0,Q4,2025,2025-12-31,-401866000.0,44194408.0,TFX,2725659000.0
,Q1,2021,2021-03-31,-42000.0,2334479.0,TIVC,
9049000.0,Q2,2022,2022-06-30,-21000.0,9621484.0,TIVC,
2002000.0,Q4,2024,2024-12-31,-600000.0,486046.0,TIVC,0.0
12645000.0,Q4,2025,2025-12-31,-302000.0,1765952.0,TIVC,6454000.0
