accepted_at_utc,accepted_source_provider,capex,cash,created_at_utc,currency,derivation_method,ebit,ebitda,fiscal_quarter,fiscal_year,free_cashflow,gross_profit,net_income,operating_cashflow,operating_income,period_end_date,publish_date,quarter_id,resolution_issue_id,revenue,shares_outstanding,ticker,total_debt,update_run_id,updated_at_utc
2026-08-24T09:24:02.702073+00:00,LEGACY,-21291000.0,80879000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""EBIT_PLUS_DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG"", ""q_applicability"": ""STRONG_Q1_Q3"", ""semantic_class"": ""SEMANTIC_A_OR_B_HISTORIC_STRICT"", ""source_mode"": ""STRICT_4C2D_AUTO_STRONG"", ""statistical_class"": ""STAT_HIGH""}",189432000.0,207700000.0,Q3,2023,158548000.0,398169000.0,147676000.0,179839000.0,189432000.0,2023-09-10,2023-10-12,32977,,1027361000.0,35357043.0,DPZ,,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-23T09:28:17Z,V2,-20181000.0,203894000.0,2026-08-23T074231Z,,,210413000.0,230415000.0,Q1,2024,103283000.0,421870000.0,125824000.0,123464000.0,210413000.0,2024-03-24,2024-04-29,32976,,1084647000.0,35154232.0,DPZ,4978678000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T09:28:17Z,V2,-23502000.0,283699000.0,2026-08-23T074231Z,,,196103000.0,216477000.0,Q2,2024,127184000.0,437031000.0,141978000.0,150686000.0,196103000.0,2024-06-16,2024-07-18,32975,,1097736000.0,35224080.0,DPZ,4978614000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-24T09:24:02.702073+00:00,LEGACY,-27118000.0,189084000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""EBIT_PLUS_DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG"", ""q_applicability"": ""STRONG_Q1_Q3"", ""semantic_class"": ""SEMANTIC_A_OR_B_HISTORIC_STRICT"", ""source_mode"": ""STRICT_4C2D_AUTO_STRONG"", ""statistical_class"": ""STAT_HIGH""}",198831000.0,219587000.0,Q3,2024,145611000.0,423747000.0,146924000.0,172729000.0,198831000.0,2024-09-08,2024-10-10,32974,,1080119000.0,35039408.0,DPZ,,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-23T09:28:17Z,V2,-14745000.0,304320000.0,2026-08-23T074231Z,,,210095000.0,230457000.0,Q1,2025,164331000.0,443147000.0,149651000.0,179076000.0,210095000.0,2025-03-23,2025-04-28,32973,,1112056000.0,34553820.0,DPZ,4975759000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-22T00:00:00Z,V2,-20486000.0,272859000.0,2026-08-22T00:00:00Z,,,212899000.0,233250000.0,Q2,2025,167298000.0,460970000.0,131091000.0,187784000.0,221161000.0,2025-06-30,2025-07-21,3702,,1145144000.0,33081735.0,DPZ,4975836000.0,V3_PHASE3C_V2_ENRICHMENT_20260822T000000Z,2026-08-22T00:00:00Z
2026-08-22T00:00:00Z,YAHOO,-21436000.0,139728000.0,2026-08-22T00:00:00Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",224211000.0,244626000.0,Q3,2025,163960000.0,459902000.0,139319000.0,185396000.0,223168000.0,2025-09-30,2025-10-14,3703,,1147054000.0,33786218.0,DPZ,5051715000.0,V3_PHASE3B_U_REFINED_YAHOO_SEED_20260822T000000Z,2026-08-22T00:00:00Z
2026-08-22T00:00:00Z,YAHOO,-63891000.0,125675000.0,2026-08-22T00:00:00Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",291133000.0,318832000.0,Q4,2025,175915000.0,609541000.0,181643000.0,239806000.0,295522000.0,2025-12-31,2026-02-23,3704,,1535740000.0,33627992.0,DPZ,5048284000.0,V3_PHASE3B_U_REFINED_YAHOO_SEED_20260822T000000Z,2026-08-22T00:00:00Z
2026-08-22T00:00:00Z,YAHOO,-15043000.0,232922000.0,2026-08-22T00:00:00Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",226869000.0,247303000.0,Q1,2026,146912000.0,464512000.0,139811000.0,161955000.0,222577000.0,2026-03-31,2026-04-27,3705,,1150594000.0,33503323.0,DPZ,5135773000.0,V3_PHASE3B_U_REFINED_YAHOO_SEED_20260822T000000Z,2026-08-22T00:00:00Z
2026-08-22T00:00:00Z,YAHOO,-23965000.0,164836000.0,2026-08-22T00:00:00Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",221286000.0,241633000.0,Q2,2026,166683000.0,478228000.0,135750000.0,190648000.0,227952000.0,2026-05-31,2026-07-20,3706,,1194427000.0,33068845.0,DPZ,5122853000.0,V3_PHASE3B_U_REFINED_YAHOO_SEED_20260822T000000Z,2026-08-22T00:00:00Z
